date,avg_amt
2023-11-15,139720.3499383209
2023-11-17,158706.80325011216
2023-11-20,178192.38360403955
2023-11-22,250077.04307795252
2023-11-27,197038.6693048011
2023-11-29,184316.95132783081
2023-12-01,226031.01449248823
2023-12-04,223075.88122310277
2023-12-06,1400302.3230032553
2023-12-08,205884.39977104278
2023-12-11,219019.14498084874
2023-12-13,264051.0077925813
2023-12-15,259790.4524521567
2023-12-18,307577.2730593635
2023-12-20,340720.92957086826
2023-12-22,293494.33652989095
2023-12-26,371150.9185676013
2023-12-27,316263.02515020646
2023-12-29,431788.76804092136
2024-01-02,437845.45546977664
2024-01-03,401550.1293637096
2024-01-05,345150.3255273837
2024-01-08,312895.93567367113
2024-01-10,315844.8312962102
2022-10-24,149961.32036029416
2022-10-26,150560.53800479855
2022-10-28,137053.68917298797
2022-10-31,166642.74134962336
2022-11-02,158423.58338507375
2022-11-04,167705.8071373086
2022-11-07,177217.04444694702
2022-11-09,213806.41915325783
2022-11-11,184733.36145214146
2022-11-14,200830.36306310465
2022-11-16,261850.05332749488
2022-11-18,257219.2095393256
2022-11-21,210007.86355496416
2022-11-23,287852.30664056033
2022-11-25,386167.3282655982
2022-11-28,396803.03208906413
2022-11-30,499975.9881797377
2022-12-19,510840.9334645732
2022-12-21,569509.48521655
2022-12-28,576247.6897333302
2022-12-30,469989.38481739117
2023-01-04,631160.6855597442
2023-01-16,229129.85350711874
2023-02-20,273504.640485112
2023-02-26,213725.17392362113
2023-03-03,308317.25108073116
2023-03-10,190589.20862185286
2023-04-07,192979.45688150314
2023-05-10,144911.77004134931
2023-05-24,73747.07523120639
2023-05-30,90378.2762791109
2023-06-19,53297.073084011616
2023-08-11,112891.0866417846
2023-08-14,154427.334788295
2023-09-04,155127.06781747958
2023-10-09,112119.40763998967
2023-10-27,152994.4301264407
2023-11-10,153176.3759424444
2023-11-24,272980.86305466964
2023-05-25,54594.785447186005
2023-06-01,82894.98433174628
2023-06-06,73715.54473252868
2023-06-08,88158.55726977748
2023-06-13,71090.22072269401
2023-06-20,58294.375164186975
2023-06-22,78302.52187888257
2023-06-27,59602.27938159869
2023-06-29,77293.05211675921
2023-07-04,96723.80827431867
2023-07-06,76778.71384011675
2023-07-11,85570.79251521574
2023-07-13,86607.83814145016
2023-07-18,96318.21450269695
2023-07-27,129007.1643304467
2023-08-01,126234.95932546831
2023-08-03,103062.11095235395
2023-08-08,164302.13680456448
2023-08-10,142223.4535493502
2023-08-15,152201.85567695266
2023-08-17,155816.06066692926
2023-08-22,200862.5674703334
2023-08-24,208836.00101172368
2023-08-29,187998.20518014
2023-08-31,258465.63951503052
2023-09-05,150927.50074949127
2023-09-07,186560.81380366557
2023-09-12,156864.04286866542
2023-09-14,137298.2152526471
2023-09-19,142208.96932685163
2023-09-26,124290.94491930456
2023-09-28,161497.97424206164
2023-10-03,115985.18378945756
2023-10-05,143476.94353060963
2023-10-10,85947.01163220995
2023-10-12,114905.38358310067
2023-10-17,131633.86943332505
2023-10-19,134182.22963075968
2023-10-24,161027.0785410907
2023-10-31,201674.1979832735
2023-11-02,124171.5368803776
2023-11-07,143937.085713591
2023-11-14,131107.15931331075
2023-11-21,162600.71958661164
2023-11-28,190274.87857817372
2023-11-30,204835.88269822905
2023-12-05,259762.29516314762
2023-12-07,371912.7088912835
2023-12-12,235718.1906798548
2023-12-14,291342.68030927406
2023-12-19,283200.751229822
2023-12-28,487643.72447932797
2024-01-04,566066.282875629
2024-01-09,327666.1340758437
2022-06-27,434631.26458646817
2022-06-29,500008.29891895613
2022-07-01,508410.28926887806
2022-07-04,458770.89936617634
2022-07-06,387732.2697654393
2022-07-08,338371.3288339835
2022-07-11,763047.1484608543
2022-07-13,466433.5642760763
2022-07-15,460707.8123997096
2022-07-18,407502.85279817926
2022-07-20,476338.7316270568
2022-07-22,485878.8480701153
2022-07-27,338027.8482122894
2022-07-29,302577.3215475914
2022-07-31,333526.6137073383
2022-08-03,403224.8388739909
2022-08-04,252162.389479051
2022-08-08,299796.64759901597
2022-08-10,450666.93100856827
2022-08-12,283934.4757849853
2022-08-15,274161.28860330355
2022-08-17,260214.07313438217
2022-08-19,227523.16916636488
2022-08-22,205419.91677522092
2022-08-24,331649.22793402575
2022-08-26,237417.27965663277
2022-08-29,251107.08909827538
2022-08-31,296125.5586562696
2022-09-02,226920.09362502562
2022-09-05,196813.97415693977
2022-09-08,178080.43926918044
2022-09-09,206414.79336937406
2022-09-12,174312.6647183462
2022-09-14,178523.98704991187
2022-09-16,152101.6679671837
2022-09-18,100937.196429563
2022-09-21,137885.63748757806
2022-09-22,68145.50603656941
2022-09-26,107796.91041872026
2022-09-28,150456.25933313748
2022-09-30,114850.74743831466
2022-10-03,107817.71495413344
2022-10-05,159752.8996476556
2022-10-07,119762.07075347961
2022-10-10,104274.34507025797
2022-10-12,168443.75296478393
2022-10-14,97575.63558661107
2022-10-16,104174.53597057582
2022-10-20,146663.71632847787
2022-10-21,125259.45116240384
2022-11-01,214457.8237763494
2022-11-03,194777.14325290982
2022-11-13,153135.91227887265
2022-12-02,509497.88343875704
2022-12-05,426236.930684772
2022-12-07,458811.8224983107
2022-12-09,467317.340603558
2022-12-12,474854.2711810821
2022-12-14,458646.30175471795
2022-12-16,438869.27219554625
2022-12-18,380688.9605343384
2022-12-23,608164.2654182566
2022-12-25,772410.3063950511
2022-12-29,462856.4024777285
2023-01-02,526515.4260347612
2023-01-05,483011.5266065437
2023-01-08,296680.1381890533
2023-01-12,230707.62968937575
2023-02-05,397788.152942005
2023-02-09,275068.7966151012
2023-02-23,293450.8198511308
2023-03-02,242673.6525301162
2023-03-05,237982.76079648148
2023-03-23,217250.66863983206
2023-04-02,173500.88067660504
2023-04-06,269919.0955341548
2023-04-16,199811.50013601463
2023-05-23,91281.03286533961
2023-05-28,90802.73404904768
2023-06-11,56105.26756126282
2023-07-25,104483.57568171385
2023-11-12,165659.29571724217
2023-12-10,186851.50150475578
2023-12-24,333624.9291651844
2024-01-01,361946.0171996023
2023-11-09,205108.3046608088
2023-05-18,84828.8794606932
2023-06-15,95937.38655362102
2023-07-20,88723.63303313675
2023-09-21,162474.3985016934
2023-11-16,176843.86949629048
2023-12-21,410589.11834401474
2024-01-11,256483.77940337267
2022-12-22,577155.751926419
2022-12-27,454123.7202866218
2023-01-03,337820.8690000704
2023-01-17,257015.27255949212
2023-02-21,288277.1098770987
2023-03-12,231786.64307860623
2023-10-01,86317.99277355913
2022-09-07,245227.71205415158
2022-09-19,195470.43130485335
2022-09-23,106764.08415097545
2022-10-17,123355.571525827
2022-10-19,147394.9035408715
2022-12-26,589166.8269133588
2023-05-29,63030.24557026359
2023-12-25,444151.0017150213
2022-06-26,850007.6784608789
2022-06-28,457470.1709307263
2022-06-30,533536.6327152507
2022-07-05,339216.5938379073
2022-07-12,360807.7014269332
2022-07-19,503044.6126975835
2022-08-01,301798.8667389889
2022-08-02,285755.5632719125
2022-08-09,236120.39271756352
2022-08-16,324173.0374859029
2022-08-23,255478.95428250358
2022-08-30,170247.39422496216
2022-09-06,200792.06797459858
2022-09-13,163975.56667626655
2022-09-20,115259.11514381983
2022-09-27,110480.12010353325
2022-10-04,141418.70484072925
2022-10-11,138715.35999069395
2022-10-18,101755.37512301574
2022-10-25,123896.23217046508
2022-11-08,186886.90018916683
2022-11-15,160378.87381413433
2022-11-22,257647.86550456646
2022-11-29,468660.0554096318
2022-12-06,429744.75604699366
2022-12-13,492376.6474102102
2022-12-20,547770.5812207116
2023-01-10,309916.0589318857
2023-01-24,178364.7750517574
2023-01-31,341043.9619705524
2023-02-07,275283.16082551
2023-02-14,300924.12870211515
2023-02-28,261334.26008970264
2023-03-07,245485.54697344295
2023-03-14,207225.02466817477
2023-03-21,278171.50401384797
2023-03-28,255086.9526926072
2023-04-04,299723.16075879766
2023-04-11,201290.5688830672
2023-04-18,106939.36580767437
2023-04-25,87832.14725371273
2023-05-02,125710.62983944314
2023-05-09,133497.47652808495
2023-05-16,85724.67660650193
2022-08-18,279423.01257419813
2022-08-25,235198.1794240112
2022-09-01,210334.3626306368
2022-09-15,122954.50343494132
2022-09-29,171322.561275877
2022-10-06,138086.3981274497
2022-10-13,121527.13320967916
2022-10-27,130888.98125666694
2022-11-10,167503.6494089505
2022-11-17,226829.5041482183
2022-12-01,432275.987177303
2022-12-08,590954.7628512473
2023-01-19,178910.41839059143
2023-01-26,282527.1056188494
2023-02-02,350556.78758385876
2023-02-16,244204.6242410958
2023-03-09,330004.09649288486
2023-03-16,279109.16165180196
2023-03-30,169987.20882550345
2023-04-20,113317.75286688625
2023-04-27,120829.34715834768
2023-05-04,106662.43939045307
2023-05-11,100565.98700094037
2023-07-02,65930.17147595574
2023-11-23,130354.4472289473
2022-12-15,503659.88671742816
2023-04-13,133135.26923012018
2021-07-29,67448.01858597013
2021-07-30,89467.94875251729
2021-08-03,98246.48428877331
2021-08-04,93171.1143318712
2021-08-05,67999.96350238018
2021-08-06,50849.04459441175
2021-08-07,65582.76759813426
2021-08-09,99030.03250550647
2021-08-10,116817.95370350374
2021-08-11,124611.8434765549
2021-08-12,63287.090468465154
2021-08-13,82083.37188312996
2021-08-14,112338.50672945399
2021-08-16,82314.44377432883
2021-08-17,103574.98244233
2021-08-18,114248.40900967593
2021-08-19,154768.72795690858
2021-08-20,127153.75523523954
2021-08-21,98772.73713503657
2021-08-23,115128.49054457957
2021-08-24,99658.81736967027
2021-08-25,131058.00790911714
2021-08-26,110792.22966649418
2021-08-27,118844.20992691696
2021-08-28,109866.18526737357
2021-08-30,75312.9111163452
2021-08-31,176689.78457908783
2021-09-01,331967.216984576
2021-09-02,105078.69468179361
2021-09-03,82592.8805334478
2021-09-04,81958.61878321371
2021-09-06,41871.39711883334
2021-09-07,66163.63057758185
2021-09-08,86556.96932838805
